source,target,type
48210385,413005,settlement
48210386,413393,temple-2
265876,266518,settlement
265877,266018,region
265880,269561,settlement
265883,265884,settlement
265884,266001,island
265884,482947334,island
265884,482947335,island
265884,265883,island
265884,265803,island
265887,265888,settlement
265888,266090,region
265888,265887,region
265906,632227173,settlement
265916,572631626,settlement
265919,356468627,settlement
265920,269558,settlement
265922,803793619,settlement
265922,269561,settlement
265924,803793619,settlement
265929,780713127,settlement
265939,256010,settlement
265943,559027219,settlement
265949,803793619,settlement
265951,270340,people
265954,59744052,settlement
265960,572631626,"settlement, settlement-modern"
265963,64187403,settlement
265966,98366566,mountain
265966,619266305,mountain
265969,803793619,settlement
265984,270296,people
265988,265990,mountain
265989,265990,"region, people"
265989,265855,"region, people"
265990,265988,settlement
265990,265989,settlement
265990,753071609,settlement
265998,632227173,settlement
266001,265818,archipelago
266001,265875,archipelago
266001,265884,archipelago
266004,632227173,settlement
266018,269558,settlement
266018,265877,settlement
266018,803793619,settlement
266021,803793619,settlement
266021,339756240,settlement
266021,543581510,settlement
266025,803793619,settlement
266025,269560,settlement
266026,572631626,"settlement, port"
266026,609844633,"settlement, port"
266036,269560,settlement
266036,266521,settlement
266036,269546,settlement
266036,74879589,settlement
266036,980746932,settlement
266036,266521,settlement
266036,989848523,settlement
266036,889710846,settlement
266036,969838059,settlement
266038,334062047,"settlement, port"
266038,266520,"settlement, port"
266038,182370603,"settlement, port"
266038,428016814,"settlement, port"
266039,266522,mine-2
266043,981510,settlement
266052,269561,settlement
266053,266054,river
266054,266053,water-open
266055,269540,settlement
266063,803793619,settlement
266066,256463,settlement
266066,265847,settlement
266066,744937022,settlement
266071,632227173,settlement
266075,256058,"region, valley"
266076,266090,river
266090,803793619,"settlement, port"
266090,266076,"settlement, port"
266090,265888,"settlement, port"
266093,269538,settlement
266518,265876,aqueduct
266520,266038,aqueduct
266521,266036,aqueduct
266521,266036,aqueduct
266522,266039,aqueduct
267272,256010,bridge
267272,265939,bridge
267279,256010,bridge
269538,265855,road
269538,265849,road
269538,266093,road
269538,265765,road
269546,266036,road
269558,265920,road
269558,266018,road
269560,266025,road
269560,266036,road
269560,246352,road
269561,265880,road
269561,265922,road
269561,266052,road
269563,265834,road
270296,265984,settlement
270327,246322,unlocated
270339,246322,unlocated
270340,265951,"unlocated, settlement-modern"
270345,265849,unlocated
270346,246322,unlocated
270357,246322,unlocated
270358,246322,unlocated
270370,256415,settlement
275577,275614,mountain
275614,256198,cape
275614,256045,cape
275614,275577,cape
275665,275730,river
275666,275667,settlement
275666,35858006,settlement
275667,845,river
275667,275666,river
275673,981533,region
275673,275740,region
275696,197483,"settlement, cemetery"
275697,845,river
275703,275704,"settlement, port"
275704,256198,mountain
275704,275703,mountain
275730,275665,cape
275738,277849,station
275740,275673,settlement
277849,275738,settlement
285482,295374,province
285482,305142,province
285491,1043,river
285491,846,river
285491,981533,river
285504,285522,"settlement, port"
285522,285504,river
29492,973441135,region
29492,310679468,region
29492,592698237,region
29492,652445664,region
29492,3456694,region
29492,993239342,region
29492,333117476,region
29492,802815452,region
29492,44836839,region
29492,357078915,region
29492,961091613,region
29492,990231086,region
29492,316924422,region
29492,960141790,region
29492,361968004,region
29492,227756061,region
29492,990231087,region
29492,333117475,region
29492,961091612,region
29492,638749372,region
29492,893945,region
29492,682032457,region
29492,874458,region
29492,874621,region
29492,894019,region
29492,44836840,region
29492,14077997,region
29517,30279,region
29517,30205,region
29517,30209,region
29517,30242,region
29517,30257,region
29517,30207,region
29517,30269,region
29517,30273,region
29517,30223,region
29517,30243,region
29517,30208,region
29517,202157292,region
29517,30216,region
29517,30206,region
29517,30270,region
29517,30256,region
295279,1043,"settlement, port"
295279,305120,"settlement, port"
295279,305106,"settlement, port"
295279,285482,"settlement, port"
295279,677240335,"settlement, port"
295279,471134383,"settlement, port"
295314,296720,river
295363,20698830,settlement
295363,83724488,settlement
295374,285482,settlement
29573,84624811,region
29573,30221,region
295962,295245,aqueduct
29621,932433,mountain
29621,921321519,mountain
29621,921321520,mountain
29630,29713,island
296720,295314,bridge
29677,814675,region
29677,746785,region
29677,746751,region
29677,794388242,region
29677,697687,region
29677,697725,region
29713,39352,water-open
29713,912841,water-open
29713,932464,water-open
29713,47806597,water-open
29713,912879,water-open
29713,29630,water-open
29713,912798,water-open
29713,912964,water-open
29713,912810,water-open
297475,295245,numbered feature
29816,894184,mountain
29816,785376781,mountain
30205,29517,unlocated
30206,29517,"unlocated, river"
30207,29517,unlocated
30208,29517,people
30209,29517,unlocated
30216,29517,unlocated
30221,29573,unlocated
30223,29517,people
30242,29517,unlocated
30243,29517,unlocated
30256,29517,"unlocated, mountain"
30257,29517,unlocated
30269,29517,unlocated
30270,29517,"unlocated, mountain"
30273,29517,people
30279,29517,"unlocated, settlement"
305026,183817907,cemetery
305026,183817896,cemetery
475264756,20487,church
219854861,609998416,tumulus
316390354,609998416,monument
522588456,410216617,architecturalcomplex
337124895,410216617,"cemetery, monument"
168208659,265799,bath
168208661,256106,bath
392649590,118745,tumulus
503211161,580119,mine-2
236701131,422932,church-2
236701133,423567,fountain
236701133,423025,fountain
236701133,430827518,fountain
786609869,658564,fort
794026197,648980581,"unlocated, settlement"
794026197,357078915,"unlocated, settlement"
794026198,658636,theatre
37101101,628982,"unlocated, fort"
37101101,762647722,"unlocated, fort"
37101101,629008,"unlocated, fort"
37101101,522605291,"unlocated, fort"
37101101,100544804,"unlocated, fort"
37101101,629098,"unlocated, fort"
37101101,319432673,"unlocated, fort"
37101101,214160492,"unlocated, fort"
522605291,628982,"unlocated, fort"
522605291,100544804,"unlocated, fort"
522605291,319432673,"unlocated, fort"
522605291,214160492,"unlocated, fort"
522605291,37101101,"unlocated, fort"
522605291,762647722,"unlocated, fort"
522605291,629008,"unlocated, fort"
648980580,727241,tomb
648980581,424616150,region
648980581,56567731,region
648980581,407444302,region
648980581,658474,region
648980581,319432673,region
648980581,998821004,region
648980581,129678075,region
648980581,998821003,region
648980581,168815529,region
648980581,794026197,region
648980581,357078915,region
648980581,303882989,region
648980581,321601069,region
357078915,648980581,province-2
357078915,29492,province-2
357078915,3456694,province-2
357078915,361968004,province-2
357078915,658474,province-2
357078915,407444302,province-2
357078915,129678075,province-2
357078915,227756061,province-2
357078915,794026197,province-2
357078915,652445664,province-2
316924422,29492,"region, province-2"
316924422,407444302,"region, province-2"
227756061,303882989,province-2
227756061,652445664,province-2
227756061,1043,province-2
227756061,29492,province-2
227756061,357078915,province-2
227756061,361968004,province-2
227756061,333117475,province-2
227756061,192555966,province-2
227756061,960141790,province-2
227756061,333117476,province-2
168815529,648980581,"unlocated, region"
168815529,424616150,"unlocated, region"
168815529,802922078,"unlocated, region"
168815529,744211055,"unlocated, region"
168815529,998821004,"unlocated, region"
609998416,915626351,monument
609998416,242742173,monument
609998416,462015872,monument
609998416,731287504,monument
609998416,219854861,monument
609998416,316390354,monument
609998416,242742175,monument
609998416,320384863,monument
609998416,544049654,monument
406501931,20487,tomb
828393338,632227173,settlement
377811335,226577,"unlocated, river"
490307091,1356,archipelago
490307091,403193,archipelago
490307091,403221,archipelago
490307091,403286,archipelago
490307091,403222,archipelago
490307091,403182,archipelago
490307091,403247,archipelago
490307091,403255,archipelago
260940008,687934,"settlement, settlement-modern"
367530812,472014,"spring, settlement"
781209675,423127,"garden-hortus, water-feature"
864330772,501347,tumulus
864330772,501495,tumulus
345477552,423025,tomb
345477553,423025,shrine
904615255,214160492,settlement-modern
119022475,433032,production
198420713,452488,fort
593460161,590086,"settlement, architecturalcomplex, hill"
593460162,570491,cemetery
593460163,599821,temple-2
593460163,599822,temple-2
483473194,528863404,settlement
6521693551211800,638776,bridge
645204823,550693,island
739961553,472014,temple-2
946753455,462086,temple-2
946753455,63728843,temple-2
540456066,1101,peninsula
540456066,981551,peninsula
540456066,530036687,peninsula
540456066,991318,peninsula
58858515,580062,theatre
89350791,773761100,monument
300583267,423025,theatre
300583267,158081395,theatre
267702570,423025,church
267702570,695491849,church
267702571,695491849,road
267702571,423025,road
445192365,423025,"townhouse, architecturalcomplex"
865664297,423025,church
149683041,472014,"findspot, settlement-modern, monument"
774886524,506349985,fort
958275306,570182,plaza
236955527,59844,plateau
236955527,266192488,plateau
236955527,20924741,plateau
369907904,236405,arch
690508611,89315,temple-2
690508612,584272773,road
690508612,416789,road
690508612,413133,road
690508612,662725009,road
690508612,426634,road
690508612,413224,road
690508612,413125,road
690508612,413172,road
690508612,20585718,road
690508612,414506,road
690508612,413012,road
690508612,423116,road
690508612,710429514,road
430827518,423025,"hill, fort"
430827518,432336962,"hill, fort"
430827518,236701133,"hill, fort"
379689233,423127,architecturalcomplex
379689234,17658595,settlement
511547525,697725,"garden-hortus, water-feature"
86419549,79393,temple-2
10993281,413360,"unlocated, people"
495763993,209137,mine
495763994,209137,mine
495763995,209137,mine
495763996,209137,mine
495763997,491686,mine-2
495763998,209142,mine
495763999,209142,mine
164618008,207245,mine
164618009,209142,mine-2
164618010,209142,mine
164618011,514912,fort
164618012,514912,fort
164618013,209138,mine
164618014,514912,fort
164618015,514912,fort
164618016,514912,fort
164618017,209138,mine
164618018,209138,mine
164618019,209142,mine
164618020,579907,fort
164618021,209138,mine-2
164618022,209138,mine
636076369,356966898,tomb
636076369,432629,tomb
451696383,423025,"valley, district"
175815320,423025,cemetery
175815320,622606468,cemetery
281701179,356966898,tomb
280341406,570475,settlement
426309852,422909,temple-2
466778575,736954,road
466778575,776157,road
466778575,786014015,road
466778575,776172,road
541950317,423025,"findspot, theatre"
541950317,165546433,"findspot, theatre"
144291814,589748,villa
380086882,707498,settlement
264120821,167637,pass
141201,138248,road
141201,167717,road
141207,138329,road
141208,138329,road
141953,138329,unlocated
141960,138650,"unlocated, estate"
147985,150248,settlement
147990,834876934,settlement
147990,149492,settlement
147990,150250,settlement
147992,148242,settlement
147993,148244,settlement
147993,834876934,settlement
147998,167703,river
147998,148089,river
147998,601039651,river
148020,1043,island
148027,148069,settlement
148033,148142,quarry
148053,703668015,settlement
148054,28521919,settlement
148054,150254,settlement
148054,150252,settlement
148054,413823808,settlement
148056,148242,settlement
148056,148737,settlement
148056,150247,settlement
148056,977841705,settlement
148069,148168,river
148069,54430875,river
148069,148027,river
148076,149496,mine
148081,834876934,station
148089,1043,water-open
148089,147998,water-open
148089,148211,water-open
148089,148168,water-open
148092,79684535,settlement
148093,342732941,settlement
148093,819897603,settlement
148093,390299655,settlement
148107,148110,"settlement, lighthouse, station, port"
148107,148211,"settlement, lighthouse, station, port"
148107,148242,"settlement, lighthouse, station, port"
148110,148211,river
148110,148202,river
148110,148107,river
148120,834876934,settlement
148134,148168,river
148142,148242,"urban, settlement, settlement-modern, fort"
148142,148738,"urban, settlement, settlement-modern, fort"
148142,356648400,"urban, settlement, settlement-modern, fort"
148142,439736210,"urban, settlement, settlement-modern, fort"
148142,432394421,"urban, settlement, settlement-modern, fort"
148142,439736209,"urban, settlement, settlement-modern, fort"
148142,241034493,"urban, settlement, settlement-modern, fort"
148142,148033,"urban, settlement, settlement-modern, fort"
148142,353133531,"urban, settlement, settlement-modern, fort"
148167,150251,settlement
148168,148089,river
148168,148236,river
148168,253855601,river
148168,167745,river
148168,167634,river
148168,148069,river
148168,167652,river
148168,167759,river
148168,177528,river
148168,148134,river
148168,167718,river
148168,148209,river
148168,177555,river
148168,148217,river
148168,148223,river
148168,167793,river
148202,148110,"bridge, settlement"
148202,150249,"bridge, settlement"
148209,148168,settlement
148209,246750,settlement
148211,148089,"water-open, lagoon, estuary"
148211,148107,"water-open, lagoon, estuary"
148211,148110,"water-open, lagoon, estuary"
148217,148168,settlement
148217,507729266,settlement
148217,438050385,settlement
148217,582640379,settlement
148217,748102904,settlement
148222,148242,settlement
148223,148168,settlement
148223,834876934,settlement
148224,148738,"spring, reservoir"
148236,148168,settlement
148241,167716,people
148242,147992,people
148242,95031585,people
148242,148056,people
148242,148107,people
148242,148142,people
148242,148222,people
148244,147993,people
148737,148056,aqueduct
148738,148142,aqueduct
148738,244926839,aqueduct
148738,266382050,aqueduct
148738,678272910,aqueduct
149492,147990,"bridge, station"
149492,834876934,"bridge, station"
149496,253855601,"aqueduct, bridge"
149496,148076,"aqueduct, bridge"
149496,148738,"aqueduct, bridge"
149499,507729266,bridge
149500,54430875,bridge
150247,148056,centuriation
150248,147985,centuriation
150249,148202,centuriation
150250,147990,centuriation
150251,148167,centuriation
150252,148036,centuriation
150252,148228,centuriation
150252,148054,centuriation
150254,148054,centuriation
157800,834876934,station
157802,507729266,"settlement, settlement-modern"
157802,157871,"settlement, settlement-modern"
157802,157837,"settlement, settlement-modern"
157802,158555,"settlement, settlement-modern"
157803,507729266,settlement
157803,157870,settlement
157803,162337,settlement
157803,331262016,settlement
157805,157912,"sanctuary, settlement"
157834,43994933,settlement
157836,520858710,"settlement, port"
157836,246534016,"settlement, port"
157836,165979068,"settlement, port"
157837,157879,"station, cemetery, church"
157837,507729266,"station, cemetery, church"
157837,157802,"station, cemetery, church"
157857,157929,settlement
157858,157878,island
157858,160818,island
157861,157942,settlement
157870,157803,people
157871,157802,people
157874,157945,island
157878,1043,water-open
157878,157935,water-open
157878,288204133,water-open
157878,383749,water-open
157878,362185575,water-open
157878,157858,water-open
157878,403226,water-open
157879,157837,settlement
157906,160817,island
157907,157929,station
157912,157805,people
138724250,129678075,unlocated
138724250,944349914,unlocated
41488940,549905270,"unlocated, settlement, fort"
41488940,359593043,"unlocated, settlement, fort"
41488940,628982,"unlocated, settlement, fort"
41488940,907036116,"unlocated, settlement, fort"
41488940,319432673,"unlocated, settlement, fort"
713204842,98967,"unlocated, station"
713204842,98921,"unlocated, station"
711765706,423025,"tomb, cemetery"
680190213,344456,arch
254082752,403280,temple-2
751079112,707498,settlement
559027219,265943,dam
115852119,721417202,temple-2
133577441,109307,"sanctuary, earthwork, settlement"
912798,912837,"island, settlement, port"
912798,29713,"island, settlement, port"
912803,912841,settlement
912810,29713,island
912816,417249577,"province, region"
912816,785376781,"province, region"
912835,912879,river
912835,903015,river
912837,912798,region
912837,574183541,region
912841,29713,island
912841,912851,island
912841,912803,island
912845,912849,settlement
912845,202833934,settlement
912849,912964,river
912849,856859069,river
912849,54136919,river
912849,54136920,river
912849,633091640,river
912849,633091639,river
912849,89975947,river
912849,494566507,river
912849,413309738,river
912849,674270,river
912849,266535322,river
912849,874721,river
912849,923122730,river
912849,223856812,river
912849,893928,river
912849,874355,river
912849,704495840,river
912849,17634131,river
912849,279761117,river
912849,912986,river
912849,912845,river
912849,457651161,river
912849,445186090,river
912849,893951,river
912849,481573620,river
912849,893990,river
912849,767486703,river
912849,92607494,river
912849,658465,river
912849,703315102,river
912849,897717,river
912849,752688395,river
912849,658473968,river
912849,541602250,river
912849,945906723,river
912849,945906724,river
912849,658562,river
912851,912841,settlement
912855,202833934,settlement
912872,912905,"urban, settlement"
912879,29713,river
912879,912835,river
912881,912810,settlement
912897,477553842,settlement
912897,175425813,settlement
912905,912872,region
912910,897225061,settlement
912910,288695456,settlement
912935,912964,river
905076845,383717,city-wall
212270979,560353,island
212270979,560221,island
212270979,734000266,island
305841487,423025,tomb
179549802,530843,theatre
341857013,246728,"unlocated, forest"
704495840,893951,"unlocated, city-gate"
704495840,633091640,"unlocated, city-gate"
