source,target,type
48210385,413005,type1
48210386,413393,type1
265876,266518,type1
265877,266018,type1
265880,269561,type1
265883,265884,type1
265884,266001,type1
265884,482947334,type1
265884,265883,type1
265884,265803,type1
265887,265888,type1
265888,266090,type1
265888,265887,type1
265906,632227173,type1
265916,572631626,type1
265920,269558,type1
265922,803793619,type1
265922,269561,type1
265924,803793619,type1
265939,256010,type1
265943,559027219,type1
265949,803793619,type1
265951,270340,type1
265960,572631626,type1
265963,64187403,type1
265966,619266305,type1
265969,803793619,type1
265984,270296,type1
265988,265990,type1
265989,265990,type1
265989,265855,type1
265990,265988,type1
265990,265989,type1
265998,632227173,type1
266001,265818,type1
266001,265875,type1
266001,265884,type1
266004,632227173,type1
266018,269558,type1
266018,265877,type1
266018,803793619,type1
266021,803793619,type1
266021,339756240,type1
266025,803793619,type1
266025,269560,type1
266026,572631626,type1
266026,609844633,type1
266036,269560,type1
266036,266521,type1
266036,269546,type1
266036,74879589,type1
266036,980746932,type1
266036,266521,type1
266036,969838059,type1
266038,334062047,type1
266038,266520,type1
266038,182370603,type1
266038,428016814,type1
266039,266522,type1
266043,981510,type1
266052,269561,type1
266053,266054,type1
266054,266053,type1
266055,269540,type1
266063,803793619,type1
266066,256463,type1
266066,265847,type1
266066,744937022,type1
266071,632227173,type1
266075,256058,type1
266076,266090,type1
266090,803793619,type1
266090,266076,type1
266090,265888,type1
266093,269538,type1
266518,265876,type1
266520,266038,type1
266521,266036,type1
266521,266036,type1
266522,266039,type1
267272,256010,type1
267272,265939,type1
267279,256010,type1
269538,265855,type1
269538,265849,type1
269538,266093,type1
269538,265765,type1
269546,266036,type1
269558,265920,type1
269558,266018,type1
269560,266025,type1
269560,266036,type1
269560,246352,type1
269561,265880,type1
269561,265922,type1
269561,266052,type1
269563,265834,type1
270296,265984,type1
270327,246322,type1
270339,246322,type1
270340,265951,type1
270345,265849,type1
270346,246322,type1
270357,246322,type1
270358,246322,type1
270370,256415,type1
275577,275614,type1
275614,256198,type1
275614,256045,type1
275614,275577,type1
275665,275730,type1
275666,275667,type1
275666,35858006,type1
275667,845,type1
275667,275666,type1
275673,981533,type1
275673,275740,type1
275696,197483,type1
275697,845,type1
275703,275704,type1
275704,256198,type1
275704,275703,type1
275730,275665,type1
275738,277849,type1
275740,275673,type1
277849,275738,type1
285482,295374,type2
285482,305142,type2
285491,1043,type2
285491,846,type2
285491,981533,type2
285504,285522,type2
285522,285504,type2
29492,652445664,type2
29492,357078915,type2
29492,316924422,type2
29492,227756061,type2
29492,893945,type2
29492,874458,type2
29492,874621,type2
29492,894019,type2
29517,30279,type2
29517,30205,type2
29517,30209,type2
29517,30242,type2
29517,30257,type2
29517,30207,type2
29517,30269,type2
