source,target
48210385,413005
48210386,413393
265880,269561
265883,265884
265884,482947334
265884,265883
265884,265803
265884,266001
265887,265888
265888,266090
265888,265887
265906,632227173
265916,572631626
265920,269558
265922,803793619
265922,269561
265924,803793619
265939,256010
265949,803793619
265960,572631626
265966,619266305
265969,803793619
265989,265990
265989,265855
265990,265988
265990,265989
265998,632227173
266001,265875
266001,265884
266001,265818
266004,632227173
266018,269558
266018,265877
266018,803793619
266021,339756240
266021,803793619
266025,803793619
266025,269560
266026,572631626
266026,572631626
266036,74879589
266036,980746932
266036,266521
266036,969838059
266036,269560
266036,266521
266036,269546
266038,334062047
266038,266520
266038,182370603
266038,428016814
266043,981510
266052,269561
266053,266054
266055,269540
266063,803793619
266066,256463
266066,265847
266071,632227173
266090,803793619
266090,266076
266090,265888
266093,269538
266518,265876
266520,266038
266521,266036
266521,266036
266522,266039
267272,256010
267272,265939
267279,256010
269538,265855
269538,265849
269538,266093
269538,265765
269558,265920
269558,266018
269560,266025
269560,266036
269560,246352
269561,265880
269561,265922
269561,266052
270296,265984
270327,246322
270339,246322
270340,265951
270345,265849
270346,246322
270357,246322
270358,246322
270370,256415
275577,275614
275614,256045
275614,275577
275614,256198
275666,275667
275666,275667
275667,845
275667,845
275673,981533
275673,275740
275696,197483
275697,845
275704,256198
275704,275703
275730,275665
275740,275673
277849,275738
285482,295374
285482,305142
285491,1043
285491,846
285491,981533
285504,285522
29492,652445664
29492,357078915
29492,316924422
29492,227756061
29492,893945
29492,874458
29492,874621
29492,894019
29517,30279
29517,30205
29517,30209
29517,30242
29517,30257
29517,30207
29517,30269
29517,30273
29517,30223
29517,30243
29517,30208
29517,202157292
29517,30216
29517,30206
29517,30270
29517,30256
295279,677240335
295279,1043
295279,305120
295279,305106
295279,285482
295363,83724488
295374,285482
29573,84624811
29573,84624811
295962,295245
29621,921321519
29621,921321520
29621,932433
29630,29713
296720,295314
29677,814675
29677,746785
29677,746751
29677,794388242
29677,697687
29677,697725
29713,912841
29713,932464
29713,47806597
29713,912879
29713,29630
29713,912798
29713,912964
29713,912810
29713,39352
297475,295245
29816,894184
29816,785376781
30205,29517
