from,timePeriodsKeys
48210385,mediaeval-byzantine
48210386,"archaic,classical,hellenistic-republican,roman"
265876,"hellenistic-republican,roman,late-antique"
265877,"hellenistic-republican,roman"
265880,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
265883,"archaic,classical,hellenistic-republican,roman,late-antique"
265884,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
265884,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
265884,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
265884,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
265884,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
265887,"classical,hellenistic-republican,roman"
265888,"hellenistic-republican,roman"
265888,"hellenistic-republican,roman"
265906,roman
265916,"hellenistic-republican,roman,late-antique"
265919,"roman,late-antique,mediaeval-byzantine,modern"
265920,"hellenistic-republican,roman,late-antique"
265922,"archaic,classical,hellenistic-republican,roman,late-antique,ummayad,modern"
265922,"archaic,classical,hellenistic-republican,roman,late-antique,ummayad,modern"
265924,"hellenistic-republican,roman,late-antique"
265929,"hellenistic-republican,roman"
265939,"roman,late-antique"
265943,"hellenistic-republican,roman,late-antique"
265949,"hellenistic-republican,roman,late-antique"
265951,roman
265954,"hellenistic-republican,roman,late-antique,caliphate-umayyad-middle-east"
265960,"hellenistic-republican,roman,late-antique,modern"
265963,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
265966,"hellenistic-republican,roman"
265966,"hellenistic-republican,roman"
265969,"hellenistic-republican,roman"
265984,hellenistic-republican
265988,roman
265989,"hellenistic-republican,roman"
265989,"hellenistic-republican,roman"
265990,"hellenistic-republican,hellenistic-roman-early-empire,roman,late-antique"
265990,"hellenistic-republican,hellenistic-roman-early-empire,roman,late-antique"
265990,"hellenistic-republican,hellenistic-roman-early-empire,roman,late-antique"
265998,"hellenistic-republican,roman,late-antique"
266001,"archaic,classical,hellenistic-republican,roman,late-antique"
266001,"archaic,classical,hellenistic-republican,roman,late-antique"
266001,"archaic,classical,hellenistic-republican,roman,late-antique"
266004,"hellenistic-republican,roman,roman-early-empire-late-antique,late-antique"
266018,"hellenistic-republican,roman,late-antique"
266018,"hellenistic-republican,roman,late-antique"
266018,"hellenistic-republican,roman,late-antique"
266021,"classical,hellenistic-republican,roman,late-antique"
266021,"classical,hellenistic-republican,roman,late-antique"
266021,"classical,hellenistic-republican,roman,late-antique"
266025,"hellenistic-republican,roman,late-antique"
266025,"hellenistic-republican,roman,late-antique"
266026,"hellenistic-republican,roman,late-antique"
266026,"hellenistic-republican,roman,late-antique"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266036,"hellenistic-republican,roman,late-antique,modern"
266038,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
266038,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
266038,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
266038,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
266039,"hellenistic-republican,roman"
266043,"hellenistic-republican,roman,late-antique"
266052,"hellenistic-republican,roman"
266053,"hellenistic-republican,roman,modern"
266054,roman
266055,"archaic,classical,hellenistic-republican,roman,late-antique"
266063,"hellenistic-republican,roman,late-antique"
266066,"hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern"
266066,"hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern"
266066,"hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern"
266071,"roman,late-antique"
266075,"hellenistic-republican,roman,late-antique"
266076,"hellenistic-republican,roman,modern"
266090,"hellenistic-republican,roman,late-antique"
266090,"hellenistic-republican,roman,late-antique"
266090,"hellenistic-republican,roman,late-antique"
266093,"roman,late-antique"
266518,"roman,late-antique"
266520,"roman,late-antique"
266521,"roman,late-antique"
266521,"roman,late-antique"
266522,"roman,late-antique"
267272,"roman,late-antique,modern"
267272,"roman,late-antique,modern"
267279,"roman,late-antique"
269538,"roman,late-antique"
269538,"roman,late-antique"
269538,"roman,late-antique"
269538,"roman,late-antique"
269546,"roman,late-antique"
269558,"hellenistic-republican,roman,late-antique"
269558,"hellenistic-republican,roman,late-antique"
269560,"roman,late-antique"
269560,"roman,late-antique"
269560,"roman,late-antique"
269561,"hellenistic-republican,roman"
269561,"hellenistic-republican,roman"
269561,"hellenistic-republican,roman"
269563,"roman,late-antique"
270296,hellenistic-republican
270327,roman
270339,roman
270340,"roman,mediaeval-byzantine,modern"
270345,"classical,hellenistic-republican"
270346,roman
270357,roman
270358,roman
270370,roman
275577,"classical,hellenistic-republican,roman,late-antique,modern"
275614,"archaic,classical,hellenistic-republican,roman"
275614,"archaic,classical,hellenistic-republican,roman"
275614,"archaic,classical,hellenistic-republican,roman"
275665,"roman,modern"
275666,"archaic,classical,hellenistic-republican,roman,late-antique"
275666,"archaic,classical,hellenistic-republican,roman,late-antique"
275667,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
275667,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
275673,"roman,late-antique"
275673,"roman,late-antique"
275696,"hellenistic-republican,roman,late-antique,modern"
275697,"roman,modern"
275703,"roman,late-antique,modern"
275704,"roman,modern"
275704,"roman,modern"
275730,
275738,"roman,late-antique"
275740,"hellenistic-republican,roman,late-antique"
277849,roman
285482,"roman,late-antique"
285482,"roman,late-antique"
285491,"roman,modern"
285491,"roman,modern"
285491,"roman,modern"
285504,"classical,hellenistic-republican,roman,late-antique"
285522,modern
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
