id,title,description,size
48210385,Borgo Medievale,The post-Roman settlement at Alba Fucens became an administrative center ca. A.D. 870 and remained significant as a center in Marsica until ca. 1143. The area was later subsumed by the Duchy of Spoleto.,1
48210386,Tempio Grande at Vulci,"A major urban sanctuary at Vulci with a long period of use, stretching from the archaic period into the Roman period.",1
265876,Consabura/Consabrum,"An ancient settlement, likely of Celtic origin, located near Consuegra south of Toledo.",1
265877,Contestania (region),Contestania was a region located in the southwest of Hispania Tarraconensis.,1
265878,Cueva de la Paloma,"An ancient place, cited: BAtlas 27 C4 Cueva de la Paloma",0
265880,Dianium/Hemeroskopeion,"An ancient place, cited: BAtlas 27 F3 Dianium/Hemeroskopeion",1
265882,Ebura,"An ancient place, cited: BAtlas 27 B4 Ebura",0
265883,Ebusus,"An ancient place, cited: BAtlas 27 G3 Ebusus",1
265884,Ebusus (island),Ebusus Ins. (modern Ibiza) is an island in the western Mediterranean Sea.,5
265886,Edeba,"An ancient place, cited: BAtlas 27 B3 Edeba",0
265887,Edeta/Leiria,"An ancient place, cited: BAtlas 27 E2 Edeta/Leiria",1
265888,Edetania (region),"Edetania was a region located between the rivers Iberus (Ebro) and Sucro (Iucar). To the west, it was bounded by the mountains of Celtiberia.",2
265890,Elche de la Sierra,"An ancient place, cited: BAtlas 27 C3 Elche de la Sierra",0
265891,Eliocroca?,"An ancient place, cited: BAtlas 27 D4 Eliocroca?",0
265893,Epora,"An ancient place, cited: BAtlas 27 A3 Epora",0
265894,Etobesa/Etouissa?,"An ancient place, cited: BAtlas 27 F1 Etobesa/Etouissa?",0
265896,Roman Villa at El Faro (Torrox),"A Roman villa located at the modern lighthouse on Avenida del Faro, Torrox, 29770, Málaga in Spain.",0
265897,Ferrarium/Tenebrium (promontory),"A promontory on the east coast of the Iberian peninsula, modern Cabo de la Nao in Spain.",0
265898,Ficariensis Locus?,"An ancient place, cited: BAtlas 27 D4 Ficariensis Locus?",0
265899,Fortuna,"An ancient place, cited: BAtlas 27 D3 Fortuna",0
265900,Fraxinum?,"An ancient place, cited: BAtlas 27 B4 Fraxinum?",0
265901,Fuente de Baños,"An ancient place, cited: BAtlas 27 C1 Fuente de Baños",0
265902,Fuente de la Pañuela,"An ancient place, cited: BAtlas 27 B3 Fuente de la Pañuela",0
265903,Fuente de las Piedras,"An ancient place, cited: BAtlas 27 A4 Fuente de las Piedras",0
265905,Giribaile,"An ancient place, cited: BAtlas 27 B3 Giribaile",0
265906,Guium?,"An ancient place, cited: BAtlas 27 inset Guium?",1
265914,Hoyo de la Campana,"An ancient place, cited: BAtlas 27 B4 Hoyo de la Campana",0
265916,Iamo/Iamna,"An ancient place, cited: BAtlas 27 inset Iamo/Iamna",1
265917,(I)Aspis,"An ancient place, cited: BAtlas 27 E3 (I)Aspis",0
265919,Igabrum/Egabrum,"An ancient place, cited: BAtlas 27 A4 Igabrum/Egabrum",1
265920,Ildum,"An ancient place, cited: BAtlas 27 F1 Ildum",1
265921,Iliberri,An ancient settlement located to the west of modern Granada. Its precise location is unknown.,0
265922,Ilici/Helike,"The site of Ilici began as a pre-Roman settlement that eventually developed into a Roman municipium. The site continued into the Visigothic and Byzantine periods as a minor urban settlement, controlling a vast territory which reached old Lucentum. The settlement was relocated to the modern site of Elche in the Islamic period.",2
265923,Ilicitanus Sinus,"An ancient place, cited: BAtlas 27 E3 Ilicitanus Sinus",0
265924,Iliturgi,"An ancient place, cited: BAtlas 27 B4 Iliturgi",1
265925,Iliturgicola,"An ancient place, cited: BAtlas 27 A4 Iliturgicola",0
265926,Illikitanos Limen,"An ancient place, cited: BAtlas 27 E3 Illikitanos Limen",0
265927,Ilorci,"An ancient place, cited: BAtlas 27 D3 Ilorci",0
