id,title,timePeriods,size,score,type
48210385,Borgo Medievale,M,2,1,circle
48210386,Tempio Grande at Vulci,ACHR,2,1,circle
265876,Consabura/Consabrum,HRL,2,1,circle
265877,Contestania (region),HR,2,1,circle
265880,Dianium/Hemeroskopeion,ACHRLM,2,1,circle
265883,Ebusus,ACHRL,2,1,circle
265884,Ebusus (island),ACHRLM,5,1,circle
265887,Edeta/Leiria,CHR,2,1,circle
265888,Edetania (region),HR,3,1,circle
265906,Guium?,R,2,1,circle
265916,Iamo/Iamna,HRL,2,1,circle
265920,Ildum,HRL,2,1,circle
265922,Ilici/Helike,ACHRLUM,3,1,circle
265924,Iliturgi,HRL,2,1,circle
265939,Isturgi,RL,2,1,circle
265943,Jumilla,HRL,2,1,circle
265949,Libisosa,HRL,2,1,circle
265951,Lobetanoi,R,2,1,circle
265960,Mago,HRLM,2,1,circle
265963,Malaca,ACHRLM,2,1,circle
265966,Marianus (mountain range),HR,2,1,circle
265969,Mentesa,HR,2,1,circle
265984,Olcades?,H,2,1,circle
265988,Oretana Iuga,R,2,1,circle
265989,Oretania/Oretani,HR,3,1,circle
265990,Oretum,HHRL,3,1,circle
265998,Palma,HRL,2,1,circle
266001,Pityussae (islands),ACHRL,4,1,circle
266004,Pollentia,HRRL,2,1,circle
266018,Saetabis,HRL,4,1,circle
266021,Saguntum/Arse,CHRL,3,1,circle
266025,Saltigi,HRL,3,1,circle
266026,Sanisera,HRL,3,1,circle
266036,Segobriga,HRLM,8,1,circle
266038,Sexi/Saxetanum,ACHRLM,5,1,circle
266039,Sierra de Gádor,HR,2,1,circle
266043,Sisapo?,HRL,2,1,circle
266052,Sucro,HR,2,1,circle
266053,Sucro (river),HRM,2,1,circle
266054,Sucronensis Sinus,R,2,1,circle
266055,Suel,ACHRL,2,1,circle
266063,Thiar,HRL,2,1,circle
266066,Toletum,HRLMM,4,1,circle
266071,*Tuci?,RL,2,1,circle
266075,Turdetania (region),HRL,2,1,circle
266076,Turia (river),HRM,2,1,circle
266090,Valentia,HRL,4,1,circle
266093,Vergilia,RL,2,1,circle
266518,Untitled,RL,2,1,circle
266520,Torrecuevas aqueduct,RL,2,1,circle
266521,Untitled,RL,3,1,circle
266522,Untitled,RL,2,1,circle
267272,Unnamed bridge at Isturgi on the Guadalquivir river,RLM,3,1,circle
267279,Unnamed Bridge,RL,2,1,circle
269538,Untitled,RL,5,1,circle
269540,Untitled,RL,1,1,circle
269546,Untitled,RL,2,1,circle
269558,Untitled,HRL,3,1,circle
269560,Untitled,RL,4,1,circle
269561,Untitled,HR,4,1,circle
269563,Untitled,RL,2,1,circle
270296,Althaia/Cartala,H,2,1,circle
270327,Istonion,R,2,1,circle
270339,Libana,R,2,1,circle
270340,Lobeton,RMM,2,1,circle
270345,Mastia/Massia,CH,2,1,circle
270346,Mediolon,R,2,1,circle
270357,Ouarada/Varciliens(...),R,2,1,circle
270358,Ourkesa,R,2,1,circle
270370,Salduba,R,2,1,circle
275577,Abila M.,CHRLM,2,1,circle
275614,Columnae Herculis,ACHR,4,1,circle
275665,Laud (river),RM,2,1,circle
275666,Lixus,ACHRL,3,1,circle
275667,Lixus (river),ACHRLM,3,1,circle
275673,Mauretania Tingitana (region),RL,3,1,circle
275696,Sala,HRLM,2,1,circle
275697,Salat (river),RM,2,1,circle
275703,Septem,RLM,2,1,circle
275704,Septem Fratres Montes,RM,3,1,circle
275730,Taenia Longa?,YUNK,2,1,circle
275738,Tremuli,RL,2,1,circle
275740,Volubilis,HRL,2,1,circle
277849,Untitled,R,2,1,circle
285482,Mauretania Caesariensis,RL,3,1,circle
285491,Mulucha?/Malva? (river),RM,4,1,circle
285504,Portus Sigensis,CHRL,2,1,circle
285522,Siga (river),M,2,1,circle
29492,Assyria (kingdom),OLANCHRL,9,1,circle
29517,Carmania,CHRL,17,1,circle
295245,Castellum Tingitanum,RL,1,1,circle
295279,Iol Caesarea,CHRLM,6,1,circle
295314,Nabar? (river),T,2,1,circle
295363,Tipasa,CHRRL,2,1,circle
295374,Zucchabar,HR,2,1,circle
29573,Gedrosia,CHRL,3,1,circle
295962,Aqueduct at Castellum Tingitanum,R,2,1,circle
29621,Kalon Oros,RMT,4,1,circle
29630,Kish,LM,2,1,circle
296720,Untitled,RL,2,1,circle
29677,Nabataea (region),YUNK,7,1,circle
29713,Persicus Sinus/Erythr(ae)um Mare,ACHRLM,9,1,circle
297475,Untitled,R,2,1,circle
29816,Zagrus M.,HR,3,1,circle
30205,Alexandria in Carmania,HR,2,1,circle
30206,Anamis/Andanis/Ananis (river),CHR,2,1,circle
30207,Aradarum/Hardea/Ardea,RL,2,1,circle
30208,Arai,HR,2,1,circle
30209,Archedotis/Arciotis,L,2,1,circle
30216,Badis,CH,2,1,circle
30221,Caumatis/Kanate/Kanthatis,CHRL,2,1,circle
30223,Charadrai,HR,2,1,circle
30242,Kophanta/Kophas,CHR,2,1,circle
30243,Kophanta,HR,2,1,circle
30256,Parsika (mountain),YUNK,2,1,circle
30257,Portospana,HR,2,1,circle
30269,Salmous,CH,2,1,circle
30270,Semiramis (mountain),HR,2,1,circle
30273,Soxotai,HR,2,1,circle
30279,Zetis,CHR,2,1,circle
305026,Cemetery at Ain bou Merzoug,ACH,3,1,circle
475264756,Abbeyknockmoy abbey,M,2,1,circle
219854861,Kercado tumulus,4,2,1,circle
316390354,Alignements du Manio,4,2,1,circle
522588456,Sarvestan Palace,L,2,1,circle
337124895,Investiture relief of Ardashir I,AR,2,1,circle
168208659,Termas romanas de Santa María,R,2,1,circle
168208661,Termas romanas de las Bóvedas,R,2,1,circle
392649590,Hochdorf Chieftain's Grave,A,2,1,circle
503211161,Silver Mine at Thorikos,C,2,1,circle
236701131,Church of San Primitivo,L,2,1,circle
236701133,Fonte dell'Acqua Paola,M,4,1,circle
786609869,Bagras Castle,M,2,1,circle
794026197,Za'ini,N,3,1,circle
794026198,Theater of Zeugma,YUNK,2,1,circle
37101101,Anduarsalia,N,9,1,circle
522605291,Luhsu,N,8,1,circle
648980580,Abusir Pharos tomb,HR,2,1,circle
648980581,Gurgum (kingdom),EENM,13,1,circle
357078915,Marqasi (province),N,9,1,circle
316924422,Tabālu (province),N,3,1,circle
227756061,Sam'alla (province),EN,7,1,circle
168815529,Paqarhubuni (region),E,3,1,circle
609998416,Carnac megaliths,M,10,1,circle
406501931,Poulnabrone dolmen,43,2,1,circle
828393338,Capocorb Vell,2,2,1,circle
377811335,Noarus (river),R,2,1,circle
490307091,Tuscan Archipelago,M,9,1,circle
260940008,Beitin,RM,2,1,circle
367530812,Monte Nuxi,2,2,1,circle
781209675,Pecile at Hadrian's Villa,R,2,1,circle
864330772,Kasta tomb,HM,3,1,circle
345477552,Sepulcrum Hirtii,M,2,1,circle
345477553,Curiae Veteres,HR,2,1,circle
904615255,Gazandži (Kazana),T,2,1,circle
119022475,Potter's workshop,R,2,1,circle
198420713,Castellammare della Bruca,MM,2,1,circle
593460161,West House at Vasiliki,EM,2,1,circle
593460162,Grave Circle B,MLM,2,1,circle
593460163,Portara on Naxos,CLM,3,1,circle
483473194,Çatalhöyük,NM,2,1,circle
6521693551211800,Unnamed Place,YUNK,2,1,circle
645204823,Koukonesi,32M,2,1,circle
739961553,Esterzili,2,2,1,circle
946753455,So-called Oratory of Phalaris,RM,2,1,circle
540456066,Iberia (modern region/peninsula),M,5,1,circle
58858515,Theater of Zea,H,2,1,circle
89350791,Tower of the Winds,HRM,2,1,circle
300583267,Theatrum Marcelli,RLM,3,1,circle
267702570,Santi Giovanni e Paolo,LMM,3,1,circle
267702571,Clivus Scauri,RM,3,1,circle
445192365,Case Romane del Celio,R,2,1,circle
865664297,Basilica of San Clemente al Laterano,MM,2,1,circle
149683041,Mont'e Prama,2,2,1,circle
774886524,Kirkbride,R,2,1,circle
958275306,Agora of Corinth,ACHR,2,1,circle
236955527,Tagisken Plateau,M,4,1,circle
369907904,Roman arch at Capera,R,2,1,circle
690508611,Mithraeum at Vindovala,R,2,1,circle
690508612,Via Amerina,YUNK,11,1,circle
430827518,Janiculum,RM,4,1,circle
379689233,Piazza d'Oro at Hadrian's Villa,R,2,1,circle
379689234,Proposed location of Artulu 2 (Kayseri),E,2,1,circle
511547525,Garden and Pool Complex at Petra,R,2,1,circle
86419549,Temple of Claudius,RM,2,1,circle
10993281,Feliginates,R,2,1,circle
495763993,Untitled,R,2,1,circle
495763994,Untitled,RL,2,1,circle
495763995,Untitled,RL,2,1,circle
495763996,Untitled,RL,2,1,circle
495763997,Untitled,L,2,1,circle
495763998,Untitled,RL,2,1,circle
495763999,Untitled,RL,2,1,circle
164618008,Untitled,RL,2,1,circle
164618009,Untitled,RL,2,1,circle
164618010,Untitled,RL,2,1,circle
164618011,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618012,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618013,Untitled,R,2,1,circle
164618014,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618015,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618016,Büyük Bedesten Wall Fort,L,2,1,circle
164618017,Untitled,R,2,1,circle
164618018,Untitled,R,2,1,circle
164618019,Untitled,RL,2,1,circle
164618020,Untitled,CH,2,1,circle
164618021,Untitled,R,2,1,circle
164618022,Untitled,R,2,1,circle
636076369,Mausoleum of Clesippus Geganius,R,3,1,circle
451696383,Subura,R,2,1,circle
175815320,Via Olevano Romano columbarium,R,3,1,circle
281701179,Mausoleo della Conocchia,RM,2,1,circle
280341406,Phylakopi,N2,2,1,circle
426309852,"Temple of Castor and Pollux, Cora",R,2,1,circle
466778575,Abu Ballas Trail,YUNK,5,1,circle
541950317,Theatrum Pompei,RM,3,1,circle
144291814,Zou,2M,2,1,circle
380086882,Maroni,2M,2,1,circle
264120821,Pass of the Alpes Graiae,YUNK,2,1,circle
141201,Untitled,RL,3,1,circle
