id,title,size,linkType
48210385,Borgo Medievale,2,type1
48210386,Tempio Grande at Vulci,2,type1
265876,Consabura/Consabrum,2,type1
265877,Contestania (region),2,type1
265880,Dianium/Hemeroskopeion,2,type1
265883,Ebusus,2,type1
265884,Ebusus (island),5,type1
265887,Edeta/Leiria,2,type1
265888,Edetania (region),3,type1
265906,Guium?,2,type1
265916,Iamo/Iamna,2,type1
265920,Ildum,2,type1
265922,Ilici/Helike,3,type1
265924,Iliturgi,2,type1
265939,Isturgi,2,type1
265943,Jumilla,2,type1
265949,Libisosa,2,type1
265951,Lobetanoi,2,type1
265960,Mago,2,type1
265963,Malaca,2,type1
265966,Marianus (mountain range),2,type1
265969,Mentesa,2,type1
265984,Olcades?,2,type1
265988,Oretana Iuga,2,type1
265989,Oretania/Oretani,3,type1
265990,Oretum,3,type1
265998,Palma,2,type1
266001,Pityussae (islands),4,type1
266004,Pollentia,2,type1
266018,Saetabis,4,type1
266021,Saguntum/Arse,4,type1
266025,Saltigi,3,type1
266026,Sanisera,3,type1
266036,Segobriga,8,type1
266038,Sexi/Saxetanum,5,type1
266039,Sierra de Gádor,2,type1
266043,Sisapo?,1,type1
266052,Sucro,2,type1
266053,Sucro (river),2,type1
266054,Sucronensis Sinus,2,type1
266055,Suel,1,type1
266063,Thiar,2,type1
266066,Toletum,4,type1
266071,*Tuci?,2,type1
266075,Turdetania (region),2,type1
266076,Turia (river),2,type1
266090,Valentia,4,type1
266093,Vergilia,2,type1
266518,Untitled,2,type1
266520,Torrecuevas aqueduct,2,type1
266521,Untitled,3,type1
266522,Untitled,2,type1
267272,Unnamed bridge at Isturgi on the Guadalquivir river,2,type1
267279,Unnamed Bridge,2,type1
269538,Untitled,5,type1
269540,Untitled,2,type1
269546,Untitled,2,type1
269558,Untitled,3,type1
269560,Untitled,4,type1
269561,Untitled,4,type1
269563,Untitled,2,type1
270296,Althaia/Cartala,2,type1
270327,Istonion,1,type1
270339,Libana,1,type1
270340,Lobeton,2,type1
270345,Mastia/Massia,1,type1
270346,Mediolon,1,type1
270357,Ouarada/Varciliens(...),1,type1
270358,Ourkesa,1,type1
270370,Salduba,1,type1
275577,Abila M.,2,type1
275614,Columnae Herculis,4,type1
275665,Laud (river),2,type1
275666,Lixus,3,type1
275667,Lixus (river),3,type1
275673,Mauretania Tingitana (region),3,type1
275696,Sala,2,type1
275697,Salat (river),2,type1
275703,Septem,2,type1
275704,Septem Fratres Montes,3,type1
275730,Taenia Longa?,2,type1
275738,Tremuli,2,type1
275740,Volubilis,2,type1
277849,Untitled,2,type1
285482,Mauretania Caesariensis,4,type1
285491,Mulucha?/Malva? (river),4,type1
285504,Portus Sigensis,2,type1
285522,Siga (river),2,type1
29492,Assyria (kingdom),10,type2
29517,Carmania,17,type2
295245,Castellum Tingitanum,3,type1
295279,Iol Caesarea,5,type1
295314,Nabar? (river),2,type1
295363,Tipasa,2,type1
295374,Zucchabar,2,type1
29573,Gedrosia,3,type1
295962,Aqueduct at Castellum Tingitanum,1,type1
29621,Kalon Oros,3,type1
29630,Kish,2,type1
296720,Untitled,2,type1
29677,Nabataea (region),7,type1
29713,Persicus Sinus/Erythr(ae)um Mare,9,type1
297475,Untitled,1,type1
