from,to,reprLat,reprLong,title,timePeriodsKeys,featureTypes
48210385,413005,42.082885,13.4119837,Borgo Medievale,mediaeval-byzantine,settlement
48210386,413393,42.4193742,11.6285463,Tempio Grande at Vulci,"archaic,classical,hellenistic-republican,roman",temple-2
265876,266518,39.460299,-3.606772,Consabura/Consabrum,"hellenistic-republican,roman,late-antique",settlement
265877,266018,38.988847,-0.515639,Contestania (region),"hellenistic-republican,roman",region
265880,269561,38.842795,0.107511,Dianium/Hemeroskopeion,"archaic,classical,hellenistic-republican,roman,late-antique,modern",settlement
265883,265884,38.908393,1.432146,Ebusus,"archaic,classical,hellenistic-republican,roman,late-antique",settlement
265884,266001,38.98,1.43,Ebusus (island),"archaic,classical,hellenistic-republican,roman,late-antique,modern",island
265884,482947334,38.98,1.43,Ebusus (island),"archaic,classical,hellenistic-republican,roman,late-antique,modern",island
265884,482947335,38.98,1.43,Ebusus (island),"archaic,classical,hellenistic-republican,roman,late-antique,modern",island
265884,265883,38.98,1.43,Ebusus (island),"archaic,classical,hellenistic-republican,roman,late-antique,modern",island
265884,265803,38.98,1.43,Ebusus (island),"archaic,classical,hellenistic-republican,roman,late-antique,modern",island
265887,265888,39.624587,-0.594758,Edeta/Leiria,"classical,hellenistic-republican,roman",settlement
265888,266090,39.624587,-0.594758,Edetania (region),"hellenistic-republican,roman",region
265888,265887,39.624587,-0.594758,Edetania (region),"hellenistic-republican,roman",region
265906,632227173,39.339079,3.050936,Guium?,roman,settlement
265916,572631626,40.002343,3.839243,Iamo/Iamna,"hellenistic-republican,roman,late-antique",settlement
265919,356468627,37.474155,-4.425943,Igabrum/Egabrum,"roman,late-antique,mediaeval-byzantine,modern",settlement
265920,269558,40.231686,0.073556,Ildum,"hellenistic-republican,roman,late-antique",settlement
265922,803793619,38.2396,-0.6953,Ilici/Helike,"archaic,classical,hellenistic-republican,roman,late-antique,ummayad,modern",settlement
265922,269561,38.2396,-0.6953,Ilici/Helike,"archaic,classical,hellenistic-republican,roman,late-antique,ummayad,modern",settlement
265924,803793619,37.968343,-3.80883,Iliturgi,"hellenistic-republican,roman,late-antique",settlement
265929,780713127,38.247458,-3.206444,Ilugo,"hellenistic-republican,roman",settlement
265939,256010,38.026896,-3.983804,Isturgi,"roman,late-antique",settlement
265943,559027219,38.4555288,-1.3248629,Jumilla,"hellenistic-republican,roman,late-antique",settlement
265949,803793619,38.94902,-2.353783,Libisosa,"hellenistic-republican,roman,late-antique",settlement
265951,270340,40.5,-1.5,Lobetanoi,roman,people
265954,59744052,38.3646181732,-0.438803462827,Lucentum,"hellenistic-republican,roman,late-antique,caliphate-umayyad-middle-east",settlement
265960,572631626,39.889482,4.264116,Mago,"hellenistic-republican,roman,late-antique,modern","settlement, settlement-modern"
265963,64187403,36.719658,-4.420163,Malaca,"archaic,classical,hellenistic-republican,roman,late-antique,modern",settlement
265966,98366566,38.4197222,-4.2380556,Marianus (mountain range),"hellenistic-republican,roman",mountain
265966,619266305,38.4197222,-4.2380556,Marianus (mountain range),"hellenistic-republican,roman",mountain
265969,803793619,38.692191,-2.694845,Mentesa,"hellenistic-republican,roman",settlement
265984,270296,39.5,-4.5,Olcades?,hellenistic-republican,people
265988,265990,38.7606439,-3.7256823,Oretana Iuga,roman,mountain
265989,265990,38.39875845,-3.6748499,Oretania/Oretani,"hellenistic-republican,roman","region, people"
265989,265855,38.39875845,-3.6748499,Oretania/Oretani,"hellenistic-republican,roman","region, people"
265990,265988,38.7606439,-3.7256823,Oretum,"hellenistic-republican,hellenistic-roman-early-empire,roman,late-antique",settlement
